Category,Category_Description,At_Least_One_Dose,Fully_Vaccinated
Gender,Female,689443,577676
Gender,Male,637791,486232
Gender,Other,209,186
Race/Ethnicity,NH Other,176718,139775
Gender,Unknown,2419,1972
Race/Ethnicity,Hispanic,572730,473916
Race/Ethnicity,NH White,372619,299275
Race/Ethnicity,NH Asian,33179,28858
Race/Ethnicity,NH Black,60108,41937
Race/Ethnicity,NH Other,193666,155903
Race/Ethnicity,Unknown,97560,66177
MultiCat Age Groups,15-Dec,68224,49390
MultiCat Age Groups,16-18,58318,45447
MultiCat Age Groups,19-29,211920,170012
MultiCat Age Groups,30-39,207185,172222
MultiCat Age Groups,40-49,202377,172097
MultiCat Age Groups,50-59,197344,172424
MultiCat Age Groups,60-64,89903,79911
MultiCat Age Groups,65-75,149073,133800
MultiCat Age Groups,76-85,59454,52868
MultiCat Age Groups,86-95,18855,16478
MultiCat Age Groups,96+,1736,1417
5Cat Age Groups,12+,1483257,1226944
5Cat Age Groups,16+,1412549,1172098
5Cat Age Groups,18+,1372842,1140099
5Cat Age Groups,18-49,655282,549746
5Cat Age Groups,50-64,308844,257000
5Cat Age Groups,65+,261689,206784
Gender,Female,700608,594935
Gender,Male,649260,503293
Gender,Other,210,187
Gender,Unknown,2401,1960
Race/Ethnicity,Hispanic,576399,479572
Race/Ethnicity,NH White,380339,310978
Race/Ethnicity,NH Asian,33348,29202
Race/Ethnicity,NH Black,61180,43357
Race/Ethnicity,NH Other,205471,172308
Race/Ethnicity,Unknown,95742,64958
MultiCat Age Groups,15-Dec,70708,54846
MultiCat Age Groups,16-18,59864,48264
MultiCat Age Groups,19-29,217784,177668
MultiCat Age Groups,30-39,211694,178823
MultiCat Age Groups,40-49,205647,176990
MultiCat Age Groups,50-59,199644,175869
Race/Ethnicity,Unknown,95701,66877
MultiCat Age Groups,15-Dec,62685,41566
MultiCat Age Groups,16-18,55068,41295
MultiCat Age Groups,19-29,202025,159379
MultiCat Age Groups,30-39,199140,162792
MultiCat Age Groups,40-49,196353,164896
MultiCat Age Groups,50-59,193156,167169
MultiCat Age Groups,60-64,88352,77965
MultiCat Age Groups,65-75,146669,131206
MultiCat Age Groups,76-85,58497,51876
MultiCat Age Groups,86-95,18486,16087
MultiCat Age Groups,96+,1672,1363
5Cat Age Groups,12+,1435702,1162982
5Cat Age Groups,16+,1369260,1117286
5Cat Age Groups,18+,1331463,1088793
5Cat Age Groups,18-49,631131,515432
5Cat Age Groups,50-64,302725,248728
5Cat Age Groups,65+,257519,202518
Gender,Female,680893,565129
Gender,Male,627580,473572
Gender,Other,210,186
Gender,Unknown,2453,2003
Race/Ethnicity,Hispanic,560378,457662
Race/Ethnicity,NH White,372709,298602
Race/Ethnicity,NH Asian,33255,28780
Race/Ethnicity,NH Black,59137,40925
Race/Ethnicity,NH Other,187395,148395
Race/Ethnicity,Unknown,98262,66526
MultiCat Age Groups,15-Dec,66442,45696
MultiCat Age Groups,16-18,57159,43479
MultiCat Age Groups,19-29,207765,164587
MultiCat Age Groups,30-39,203949,167375
MultiCat Age Groups,40-49,200055,168484
MultiCat Age Groups,50-59,195563,169800
MultiCat Age Groups,60-64,89256,78928
MultiCat Age Groups,65-75,147954,132505
MultiCat Age Groups,76-85,58973,52345
MultiCat Age Groups,86-95,18666,16281
MultiCat Age Groups,96+,1703,1387
5Cat Age Groups,12+,1446335,1178034
5Cat Age Groups,16+,1378798,1130123
5Cat Age Groups,18+,1340548,1100752
5Cat Age Groups,18-49,636926,523661
5Cat Age Groups,50-64,304295,250714
5Cat Age Groups,65+,258722,203612
Gender,Female,685728,572300
Gender,Male,633141,480794
Gender,Other,209,186
Gender,Unknown,2436,1989
Race/Ethnicity,Hispanic,567327,466919
